,hotel_id,hotel_name,hotel_address,total_score,location,cleanliness,service,facilities,value_for_money,comfort_and_room_quality,comments_count,hotel_description,hotel_rank
454,43_14,Chung cư studio 60 m² có 1 phòng tắm riêng ở Lộc Thọ (Warm house),"Lộc Thọ, Nha Trang, Việt Nam",,,,,,,,0,Căn hộ 60m2 phù hợp view biển tại tầng 15 phù hợp với gia đình đi du lịch hay người đi công tác với đầy đủ tiện nghi,
318,35_28,"Căn hộ 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Ocean view muong thanh vien trieu apartment)","Vĩnh Phước, Nha Trang, Việt Nam",,,,,,,,0,My apartment has 2 bedroom and 1 living room. In the kitchen there are full items and appliances to easy cook with your family and friends. Walk cross the road is bài dương beach,
654,39_18,"Nhà mặt đất 20 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (NEVA HOTEL NHA TRANG (SINGLE ROOM))","Vĩnh Phước, Nha Trang, Việt Nam",,,,,,,,0,"Ít hơn 1 phút đến bãi biển Gần siêu thị, chợ, điểm du lịch (tháp ponagar, khu nghỉ dưỡng I, tour bốn hòn đảo, bãi biển Hòn Chồng, gần nhà hàng hải sản) Phòng phù hợp cho gia đình thoáng đãng, có ban công (ban công) và cửa sổ Nội thất trong phòng được trang bị đầy đủ theo tiêu chuẩn 2 * Có hỗ trợ thuê hoặc thuê xe đưa đón đến điểm du lịch bao gồm các tour vinper",
